timestamp,inst_id,signal_type
58:01.9,MDT-USDT,Long
58:04.8,DAI-USDT,Long
58:07.7,CVX-USDT,Long
58:15.6,CTXC-USDC,Long
58:16.9,MEMEFI-USDT,Long
58:19.7,CTXC-USDT,Long
58:21.5,VELO-USDC,Long
58:22.7,ETC-USDC,Long
58:26.3,W-USDT,Long
58:32.9,SWFTC-USDT,Long
58:34.4,CRO-USDC,Long
58:39.9,TRB-USDT,Long
58:44.5,ENS-USDT,Long
58:45.2,X-USDT,Long
58:51.0,WBTC-USDT,Long
59:07.3,MDT-USDT,Long
59:10.1,DAI-USDT,Long
59:12.9,CVX-USDT,Long
59:24.6,CTXC-USDT,Long
59:30.8,W-USDT,Long
59:36.9,SWFTC-USDT,Long
59:38.5,CRO-USDC,Long
59:44.0,TRB-USDT,Long
